D39iyp2dlm,Mi Band,34
vCTkloMaa0,AmazFit Bit S,30
4KIVcPBHLi,Mi Band,28
XoyogQMtou,Galaxy Fit 2,19
WjTSJGdBQj,AmazFit GTS,33
IzZzhqcNgb,Galaxy Watch,31
QNCD3NFtji,Mi Band 5,26
ePiz3zDQnM,Mi Band 5,30
WnReTkDepQ,Mi Band 4,43
MQuJSTvjwm,Mi Band 4,38
Yd5AESq7VU,Mi Band 4,32
kmV82aTs6O,Mi Band 4,25
JVP5MvwSuy,Amazfit Neo,26
qpVAySE9Lx,P70-Pro,35
pVVtr1XBnI,Not Identified,Not Identified
NJ3ObqhIM4,Mi Band 4,42
f6A3OzDRfU,Mi Band 4,19
ZKzypbKq0X,Mi Band 4,32
GXajcvW5pn,Mi Band 5,47
6a1B88sKKg,Mi Band 4,19
Vxsi0L570e,Mi Band 5,31
ZaRLFMoSO8,AmazFit Bip,30
ydun27JYqN,AmazFit Bit S,30
7w42CTQvNT,Mi Band 5,20
E8jhIJvIVj,Mi Band 5,21
p2Pz4vSJhH,Mi Band 5,21
9kMsKR3CmC,Mi Band 5,27
c22ud3FGWS,Mi Band 5,21
mgLBUJmhdJ,Mi Band 5,21
FCSgIQr634,Not Identified,Not Identified
JhQURWQy5Y,Mi Band 5,27
vOzp63mhNs,Mi Band 5,23
CBMAppy7mO,Mi Band 5,22
b5ktKMDTb1,Mi Band 5,22
WPooa9cRhe,AmazFit Bit S,23
DlsKYCypcD,Mi Band 5,24
pjtTEh7bxf,Mi Band 5,21
HufZzocYQR,Mi Band 5,21
eJDbYeq7uh,Mi Band 5,20
aQuPu326Kj,Mi Band 5,25
nfW9KrEKe7,Mi Band 5,22
E6EqLB4DOP,Mi Band 5,21
MDiwhsdS1g,Mi Band 5,24
cPJaUqEFFH,Mi Band 5,21
sXNUnyeXqQ,Mi Band 5,23
2XgOFdSrM0,Mi Band 5,20
lRviVIAHWk,Mi Band 5,27
tbWa6eGnUx,Mi Band 5,27
FEHh6IDmKD,Mi Band 5,22